agent,lr,epsilon,poltype,num_recall,seed
dynasr,0.1,1.0,egreedy,30,5
dynasr,0.1,1.0,egreedy,30,6
dynasr,0.1,1.0,egreedy,30,7
dynasr,0.1,1.0,egreedy,30,8
dynasr,0.1,1.0,egreedy,30,9
dynasr,0.1,1.0,egreedy,100,0
dynasr,0.1,1.0,egreedy,100,1
dynasr,0.1,1.0,egreedy,100,2
dynasr,0.1,1.0,egreedy,100,3
dynasr,0.1,1.0,egreedy,100,4
dynasr,0.1,1.0,egreedy,100,5
dynasr,0.1,1.0,egreedy,100,6
dynasr,0.1,1.0,egreedy,100,7
dynasr,0.1,1.0,egreedy,100,8
dynasr,0.1,1.0,egreedy,100,9
mparsr_nosweep,0.1,0.1,egreedy,10,0
mparsr_nosweep,0.1,0.1,egreedy,10,1
mparsr_nosweep,0.1,0.1,egreedy,10,2
mparsr_nosweep,0.1,0.1,egreedy,10,3
mparsr_nosweep,0.1,0.1,egreedy,10,4
mparsr_nosweep,0.1,0.1,egreedy,10,5
mparsr_nosweep,0.1,0.1,egreedy,10,6
mparsr_nosweep,0.1,0.1,egreedy,10,7
mparsr_nosweep,0.1,0.1,egreedy,10,8
mparsr_nosweep,0.1,0.1,egreedy,10,9
mparsr_nosweep,0.1,0.1,egreedy,30,0
mparsr_nosweep,0.1,0.1,egreedy,30,1
mparsr_nosweep,0.1,0.1,egreedy,30,2
mparsr_nosweep,0.1,0.1,egreedy,30,3
mparsr_nosweep,0.1,0.1,egreedy,30,4
mparsr_nosweep,0.1,0.1,egreedy,30,5
mparsr_nosweep,0.1,0.1,egreedy,30,6
mparsr_nosweep,0.1,0.1,egreedy,30,7
mparsr_nosweep,0.1,0.1,egreedy,30,8
mparsr_nosweep,0.1,0.1,egreedy,30,9
mparsr_nosweep,0.1,0.1,egreedy,100,0
mparsr_nosweep,0.1,0.1,egreedy,100,1
mparsr_nosweep,0.1,0.1,egreedy,100,2
mparsr_nosweep,0.1,0.1,egreedy,100,3
mparsr_nosweep,0.1,0.1,egreedy,100,4
mparsr_nosweep,0.1,0.1,egreedy,100,5
mparsr_nosweep,0.1,0.1,egreedy,100,6
mparsr_nosweep,0.1,0.1,egreedy,100,7
mparsr_nosweep,0.1,0.1,egreedy,100,8
mparsr_nosweep,0.1,0.1,egreedy,100,9
mparsr_nosweep,0.1,0.3,egreedy,10,0
mparsr_nosweep,0.1,0.3,egreedy,10,1
mparsr_nosweep,0.1,0.3,egreedy,10,2
mparsr_nosweep,0.1,0.3,egreedy,10,3
mparsr_nosweep,0.1,0.3,egreedy,10,4
mparsr_nosweep,0.1,0.3,egreedy,10,5
mparsr_nosweep,0.1,0.3,egreedy,10,6
mparsr_nosweep,0.1,0.3,egreedy,10,7
mparsr_nosweep,0.1,0.3,egreedy,10,8
mparsr_nosweep,0.1,0.3,egreedy,10,9
mparsr_nosweep,0.1,0.3,egreedy,30,0
mparsr_nosweep,0.1,0.3,egreedy,30,1
mparsr_nosweep,0.1,0.3,egreedy,30,2
mparsr_nosweep,0.1,0.3,egreedy,30,3
mparsr_nosweep,0.1,0.3,egreedy,30,4
mparsr_nosweep,0.1,0.3,egreedy,30,5
mparsr_nosweep,0.1,0.3,egreedy,30,6
mparsr_nosweep,0.1,0.3,egreedy,30,7
mparsr_nosweep,0.1,0.3,egreedy,30,8
mparsr_nosweep,0.1,0.3,egreedy,30,9
mparsr_nosweep,0.1,0.3,egreedy,100,0
mparsr_nosweep,0.1,0.3,egreedy,100,1
mparsr_nosweep,0.1,0.3,egreedy,100,2
mparsr_nosweep,0.1,0.3,egreedy,100,3
mparsr_nosweep,0.1,0.3,egreedy,100,4
mparsr_nosweep,0.1,0.3,egreedy,100,5
mparsr_nosweep,0.1,0.3,egreedy,100,6
mparsr_nosweep,0.1,0.3,egreedy,100,7
mparsr_nosweep,0.1,0.3,egreedy,100,8
mparsr_nosweep,0.1,0.3,egreedy,100,9
mparsr_nosweep,0.1,0.5,egreedy,10,0
mparsr_nosweep,0.1,0.5,egreedy,10,1
mparsr_nosweep,0.1,0.5,egreedy,10,2
mparsr_nosweep,0.1,0.5,egreedy,10,3
mparsr_nosweep,0.1,0.5,egreedy,10,4
mparsr_nosweep,0.1,0.5,egreedy,10,5
mparsr_nosweep,0.1,0.5,egreedy,10,6
mparsr_nosweep,0.1,0.5,egreedy,10,7
mparsr_nosweep,0.1,0.5,egreedy,10,8
mparsr_nosweep,0.1,0.5,egreedy,10,9
mparsr_nosweep,0.1,0.5,egreedy,30,0
mparsr_nosweep,0.1,0.5,egreedy,30,1
mparsr_nosweep,0.1,0.5,egreedy,30,2
mparsr_nosweep,0.1,0.5,egreedy,30,3
mparsr_nosweep,0.1,0.5,egreedy,30,4
mparsr_nosweep,0.1,0.5,egreedy,30,5
mparsr_nosweep,0.1,0.5,egreedy,30,6
mparsr_nosweep,0.1,0.5,egreedy,30,7
mparsr_nosweep,0.1,0.5,egreedy,30,8
mparsr_nosweep,0.1,0.5,egreedy,30,9
mparsr_nosweep,0.1,0.5,egreedy,100,0
mparsr_nosweep,0.1,0.5,egreedy,100,1
mparsr_nosweep,0.1,0.5,egreedy,100,2
mparsr_nosweep,0.1,0.5,egreedy,100,3
mparsr_nosweep,0.1,0.5,egreedy,100,4
mparsr_nosweep,0.1,0.5,egreedy,100,5
mparsr_nosweep,0.1,0.5,egreedy,100,6
mparsr_nosweep,0.1,0.5,egreedy,100,7
mparsr_nosweep,0.1,0.5,egreedy,100,8
mparsr_nosweep,0.1,0.5,egreedy,100,9
mparsr_nosweep,0.1,1.0,egreedy,10,0
mparsr_nosweep,0.1,1.0,egreedy,10,1
mparsr_nosweep,0.1,1.0,egreedy,10,2
mparsr_nosweep,0.1,1.0,egreedy,10,3
mparsr_nosweep,0.1,1.0,egreedy,10,4
mparsr_nosweep,0.1,1.0,egreedy,10,5
mparsr_nosweep,0.1,1.0,egreedy,10,6
mparsr_nosweep,0.1,1.0,egreedy,10,7
mparsr_nosweep,0.1,1.0,egreedy,10,8
mparsr_nosweep,0.1,1.0,egreedy,10,9
mparsr_nosweep,0.1,1.0,egreedy,30,0
mparsr_nosweep,0.1,1.0,egreedy,30,1
mparsr_nosweep,0.1,1.0,egreedy,30,2
mparsr_nosweep,0.1,1.0,egreedy,30,3
mparsr_nosweep,0.1,1.0,egreedy,30,4
mparsr_nosweep,0.1,1.0,egreedy,30,5
mparsr_nosweep,0.1,1.0,egreedy,30,6
mparsr_nosweep,0.1,1.0,egreedy,30,7
mparsr_nosweep,0.1,1.0,egreedy,30,8
mparsr_nosweep,0.1,1.0,egreedy,30,9
mparsr_nosweep,0.1,1.0,egreedy,100,0
mparsr_nosweep,0.1,1.0,egreedy,100,1
mparsr_nosweep,0.1,1.0,egreedy,100,2
mparsr_nosweep,0.1,1.0,egreedy,100,3
mparsr_nosweep,0.1,1.0,egreedy,100,4
mparsr_nosweep,0.1,1.0,egreedy,100,5
mparsr_nosweep,0.1,1.0,egreedy,100,6
mparsr_nosweep,0.1,1.0,egreedy,100,7
mparsr_nosweep,0.1,1.0,egreedy,100,8
mparsr_nosweep,0.1,1.0,egreedy,100,9
qparsr_nosweep,0.1,0.1,egreedy,10,0
qparsr_nosweep,0.1,0.1,egreedy,10,1
qparsr_nosweep,0.1,0.1,egreedy,10,2
