agent,lr,num_recall,seed,grid_size,beta
psq,0.3,300,9,35,5
psq,0.3,1000,0,23,5
psq,0.3,1000,0,27,5
psq,0.3,1000,0,31,5
psq,0.3,1000,0,35,5
psq,0.3,1000,1,23,5
psq,0.3,1000,1,27,5
psq,0.3,1000,1,31,5
psq,0.3,1000,1,35,5
psq,0.3,1000,2,23,5
psq,0.3,1000,2,27,5
psq,0.3,1000,2,31,5
psq,0.3,1000,2,35,5
psq,0.3,1000,3,23,5
psq,0.3,1000,3,27,5
psq,0.3,1000,3,31,5
psq,0.3,1000,3,35,5
psq,0.3,1000,4,23,5
psq,0.3,1000,4,27,5
psq,0.3,1000,4,31,5
psq,0.3,1000,4,35,5
psq,0.3,1000,5,23,5
psq,0.3,1000,5,27,5
psq,0.3,1000,5,31,5
psq,0.3,1000,5,35,5
psq,0.3,1000,6,23,5
psq,0.3,1000,6,27,5
psq,0.3,1000,6,31,5
psq,0.3,1000,6,35,5
psq,0.3,1000,7,23,5
psq,0.3,1000,7,27,5
psq,0.3,1000,7,31,5
psq,0.3,1000,7,35,5
psq,0.3,1000,8,23,5
psq,0.3,1000,8,27,5
psq,0.3,1000,8,31,5
psq,0.3,1000,8,35,5
psq,0.3,1000,9,23,5
psq,0.3,1000,9,27,5
psq,0.3,1000,9,31,5
psq,0.3,1000,9,35,5
psq,0.3,3000,0,23,5
psq,0.3,3000,0,27,5
psq,0.3,3000,0,31,5
psq,0.3,3000,0,35,5
psq,0.3,3000,1,23,5
psq,0.3,3000,1,27,5
psq,0.3,3000,1,31,5
psq,0.3,3000,1,35,5
psq,0.3,3000,2,23,5
psq,0.3,3000,2,27,5
psq,0.3,3000,2,31,5
psq,0.3,3000,2,35,5
psq,0.3,3000,3,23,5
psq,0.3,3000,3,27,5
psq,0.3,3000,3,31,5
psq,0.3,3000,3,35,5
psq,0.3,3000,4,23,5
psq,0.3,3000,4,27,5
psq,0.3,3000,4,31,5
psq,0.3,3000,4,35,5
psq,0.3,3000,5,23,5
psq,0.3,3000,5,27,5
psq,0.3,3000,5,31,5
psq,0.3,3000,5,35,5
psq,0.3,3000,6,23,5
psq,0.3,3000,6,27,5
psq,0.3,3000,6,31,5
psq,0.3,3000,6,35,5
psq,0.3,3000,7,23,5
psq,0.3,3000,7,27,5
psq,0.3,3000,7,31,5
psq,0.3,3000,7,35,5
psq,0.3,3000,8,23,5
psq,0.3,3000,8,27,5
psq,0.3,3000,8,31,5
psq,0.3,3000,8,35,5
psq,0.3,3000,9,23,5
psq,0.3,3000,9,27,5
psq,0.3,3000,9,31,5
psq,0.3,3000,9,35,5
psq,0.3,10000,0,23,5
psq,0.3,10000,0,27,5
psq,0.3,10000,0,31,5
psq,0.3,10000,0,35,5
psq,0.3,10000,1,23,5
psq,0.3,10000,1,27,5
psq,0.3,10000,1,31,5
psq,0.3,10000,1,35,5
psq,0.3,10000,2,23,5
psq,0.3,10000,2,27,5
psq,0.3,10000,2,31,5
psq,0.3,10000,2,35,5
psq,0.3,10000,3,23,5
psq,0.3,10000,3,27,5
psq,0.3,10000,3,31,5
psq,0.3,10000,3,35,5
psq,0.3,10000,4,23,5
psq,0.3,10000,4,27,5
psq,0.3,10000,4,31,5
psq,0.3,10000,4,35,5
psq,0.3,10000,5,23,5
psq,0.3,10000,5,27,5
psq,0.3,10000,5,31,5
psq,0.3,10000,5,35,5
psq,0.3,10000,6,23,5
psq,0.3,10000,6,27,5
psq,0.3,10000,6,31,5
psq,0.3,10000,6,35,5
psq,0.3,10000,7,23,5
psq,0.3,10000,7,27,5
psq,0.3,10000,7,31,5
psq,0.3,10000,7,35,5
psq,0.3,10000,8,23,5
psq,0.3,10000,8,27,5
psq,0.3,10000,8,31,5
psq,0.3,10000,8,35,5
psq,0.3,10000,9,23,5
psq,0.3,10000,9,27,5
psq,0.3,10000,9,31,5
psq,0.3,10000,9,35,5
